order_id,customer_id,order_date,shipping_method,status,region
1,81,2024-01-31,Standard,Delivered,West
2,4342,2025-02-09,Standard,Delivered,West
3,1213,2024-01-07,Standard,Delivered,Midwest
4,2311,2024-01-05,Second Day,Shipped,South
5,1085,2025-12-07,Same Day,Delivered,East
6,3850,2025-06-19,Standard,Delivered,East
7,2000,2025-05-14,Standard,Delivered,East
8,1804,2024-01-12,Standard,Shipped,East
9,3254,2024-02-12,Second Day,Delivered,Midwest
10,3683,2025-04-19,Second Day,Delivered,West
11,3693,2024-08-26,Standard,Returned,East
12,2404,2024-04-22,Second Day,Delivered,Midwest
13,260,2025-04-30,Second Day,Delivered,East
14,4819,2024-04-13,Standard,Cancelled,East
15,575,2024-05-01,Standard,Delivered,Midwest
16,1310,2025-07-16,Standard,Delivered,East
17,4019,2025-07-29,Second Day,Returned,Midwest
18,4590,2024-12-08,Standard,Shipped,East
19,3411,2024-07-27,Standard,Delivered,West
20,1010,2025-03-21,Second Day,Delivered,South
21,2503,2024-01-03,Standard,Delivered,East
22,331,2025-03-31,Standard,Delivered,Midwest
23,1689,2024-09-30,Standard,Delivered,East
24,3071,2024-04-27,Second Day,Cancelled,West
25,1994,2025-11-13,Standard,Delivered,West
26,3351,2025-11-29,Standard,Delivered,South
27,1276,2025-04-03,Standard,Returned,East
28,1462,2025-12-14,Standard,Delivered,East
29,825,2025-05-13,Standard,Delivered,South
30,1902,2025-08-11,Standard,Delivered,Midwest
31,2749,2025-03-04,Standard,Delivered,Midwest
32,368,2025-12-03,Second Day,Shipped,Midwest
33,1514,2025-02-06,Standard,Delivered,West
34,767,2024-05-18,Standard,Returned,East
35,35,2024-12-03,Same Day,Delivered,Midwest
36,601,2025-04-22,Standard,Delivered,East
37,4255,2024-02-02,Standard,Delivered,East
38,4571,2025-10-31,Standard,Delivered,East
39,977,2024-01-31,Standard,Delivered,South
40,1282,2025-09-29,Standard,Delivered,East
41,4475,2025-08-26,Standard,Delivered,West
42,3660,2025-12-12,Second Day,Delivered,Midwest
43,4035,2025-03-09,Standard,Shipped,West
44,3536,2024-12-19,Standard,Returned,West
45,321,2025-11-23,Standard,Delivered,East
46,4385,2024-10-06,Standard,Delivered,East
47,3994,2025-09-07,Standard,Delivered,West
48,4439,2025-08-29,Standard,Cancelled,East
49,4161,2024-02-12,Standard,Delivered,South
50,1814,2024-12-15,Standard,Shipped,Midwest
51,312,2025-10-11,Second Day,Delivered,West
52,4657,2024-11-06,Standard,Delivered,West
53,3458,2024-09-21,Standard,Delivered,East
54,614,2024-06-25,Second Day,Delivered,East
55,983,2025-03-05,Standard,Delivered,West
56,189,2025-04-28,Standard,Delivered,East
57,1783,2025-11-16,Standard,Delivered,South
58,4129,2024-01-14,Standard,Delivered,Midwest
59,4245,2024-08-12,Standard,Delivered,East
60,3055,2025-01-25,Standard,Delivered,Midwest
61,1426,2025-04-26,Standard,Delivered,East
62,2822,2024-12-13,Standard,Delivered,East
63,3723,2025-05-24,Second Day,Shipped,South
64,2973,2024-01-19,Standard,Delivered,East
65,2274,2024-04-07,Standard,Shipped,West
66,1778,2024-07-09,Same Day,Delivered,West
67,2106,2025-04-26,Standard,Delivered,West
68,504,2024-10-29,Standard,Delivered,South
69,147,2024-03-27,Standard,Delivered,West
70,1063,2024-05-17,Standard,Delivered,South
71,4270,2025-06-22,Same Day,Delivered,Midwest
72,286,2024-08-20,Standard,Shipped,South
73,2338,2025-04-18,Standard,Delivered,Midwest
74,3890,2024-02-27,Standard,Delivered,West
75,3439,2025-12-30,Same Day,Delivered,East
76,4304,2025-11-11,Standard,Delivered,East
77,4799,2024-05-18,Standard,Delivered,East
78,1882,2025-10-09,Standard,Shipped,East
79,4050,2025-05-14,Second Day,Delivered,West
80,3808,2025-08-06,Standard,Shipped,West
81,167,2024-02-15,Standard,Delivered,East
82,1458,2025-05-31,Standard,Delivered,South
83,4218,2025-12-12,Standard,Delivered,East
84,3966,2025-05-24,Standard,Delivered,South
85,394,2024-07-30,Standard,Delivered,West
86,3378,2025-09-10,Standard,Delivered,West
87,739,2025-04-15,Second Day,Delivered,South
88,4693,2025-01-15,Standard,Delivered,Midwest
89,590,2024-07-06,Second Day,Delivered,West
90,3317,2025-11-17,Standard,Delivered,West
91,2095,2024-08-16,Standard,Delivered,South
92,455,2024-11-03,Standard,Cancelled,West
93,1601,2025-12-05,Standard,Shipped,West
94,1312,2025-05-09,Standard,Delivered,Midwest
95,3841,2025-12-10,Same Day,Shipped,West
96,4816,2025-09-11,Standard,Delivered,South
97,3918,2024-01-10,Standard,Delivered,West
98,1055,2025-02-04,Standard,Delivered,Midwest
99,4977,2024-03-10,Standard,Returned,East
100,1063,2025-12-08,Standard,Delivered,South
101,4079,2024-04-16,Same Day,Shipped,West
102,2461,2025-05-11,Same Day,Delivered,South
103,842,2024-01-11,Same Day,Delivered,South
104,87,2024-04-21,Standard,Returned,East
105,2130,2024-09-16,Same Day,Delivered,West
