inventory_id,product_id,stock_level,reorder_point,warehouse_location
1,1,450,67,WH-South
2,2,35,10,WH-West
3,3,543,108,WH-East
4,4,125,18,WH-West
5,5,190,28,WH-South
6,6,173,43,WH-West
7,7,258,51,WH-Midwest
8,8,388,58,WH-South
9,9,496,124,WH-East
10,10,321,48,WH-South
11,11,235,35,WH-South
12,12,300,75,WH-West
13,13,56,10,WH-Midwest
14,14,194,29,WH-South
15,15,130,32,WH-East
16,16,306,45,WH-Midwest
17,17,166,33,WH-East
18,18,370,74,WH-West
19,19,565,113,WH-Midwest
20,20,142,35,WH-Midwest
21,21,147,29,WH-West
22,22,504,126,WH-East
23,23,207,51,WH-West
24,24,690,138,WH-West
25,25,78,19,WH-West
26,26,134,20,WH-East
27,27,870,217,WH-East
28,28,110,27,WH-South
29,29,243,60,WH-Midwest
30,30,234,35,WH-South
31,31,368,55,WH-East
32,32,294,58,WH-West
33,33,1000,200,WH-West
34,34,656,164,WH-West
35,35,156,31,WH-Midwest
36,36,399,59,WH-Midwest
37,37,264,39,WH-Midwest
38,38,144,36,WH-Midwest
39,39,146,36,WH-Midwest
40,40,456,68,WH-Midwest
41,41,72,14,WH-East
42,42,294,58,WH-Midwest
43,43,805,120,WH-Midwest
44,44,235,58,WH-South
45,45,258,51,WH-Midwest
46,46,275,68,WH-East
47,47,186,37,WH-East
48,48,80,20,WH-West
49,49,970,194,WH-South
50,50,825,206,WH-South
51,51,875,218,WH-East
52,52,46,10,WH-East
53,53,261,52,WH-Midwest
54,54,784,117,WH-South
55,55,530,79,WH-West
56,56,690,103,WH-South
57,57,123,18,WH-West
58,58,92,23,WH-East
59,59,318,63,WH-East
60,60,92,18,WH-Midwest
61,61,248,37,WH-East
62,62,260,39,WH-Midwest
63,63,576,144,WH-South
64,64,196,39,WH-Midwest
65,65,278,41,WH-West
66,66,430,86,WH-East
67,67,480,120,WH-South
68,68,357,89,WH-East
69,69,232,58,WH-Midwest
70,70,186,37,WH-East
71,71,724,144,WH-West
72,72,550,82,WH-East
73,73,136,34,WH-West
74,74,507,101,WH-East
75,75,94,23,WH-West
76,76,84,21,WH-Midwest
77,77,648,162,WH-South
78,78,94,18,WH-South
79,79,155,38,WH-Midwest
80,80,114,17,WH-Midwest
81,81,310,62,WH-South
82,82,483,96,WH-East
83,83,591,118,WH-Midwest
84,84,744,186,WH-South
85,85,515,77,WH-West
86,86,333,83,WH-West
87,87,130,32,WH-West
88,88,925,231,WH-Midwest
89,89,195,29,WH-Midwest
90,90,199,29,WH-South
91,91,98,19,WH-East
92,92,234,46,WH-Midwest
93,93,552,82,WH-Midwest
94,94,436,87,WH-South
95,95,510,127,WH-Midwest
96,96,192,38,WH-Midwest
97,97,170,42,WH-West
98,98,132,19,WH-West
99,99,415,83,WH-South
100,100,364,91,WH-South
