order_item_id,order_id,product_id,quantity,discount_pct,return_status
1,1,26,3,0.3,0
2,2,43,4,0.0,0
3,2,77,4,0.0,0
4,2,49,3,0.0,0
5,3,72,1,0.25,0
6,3,20,2,0.0,0
7,4,40,2,0.0,0
8,4,3,3,0.0,0
9,5,54,1,0.3,0
10,6,9,2,0.3,0
11,7,50,2,0.0,0
12,8,27,3,0.15,0
13,9,67,3,0.25,0
14,9,31,1,0.15,0
15,9,93,3,0.2,0
16,10,5,1,0.0,0
17,10,78,4,0.0,0
18,11,79,1,0.0,1
19,11,33,4,0.2,1
20,11,94,1,0.0,1
21,12,91,3,0.0,0
22,13,92,1,0.0,0
23,13,59,1,0.0,0
24,14,50,4,0.2,0
25,15,5,3,0.0,0
26,15,58,1,0.0,0
27,16,9,2,0.0,0
28,17,80,3,0.0,1
29,17,74,1,0.0,1
30,17,82,1,0.0,1
31,18,25,2,0.15,0
32,19,16,3,0.0,0
33,20,97,3,0.3,0
34,21,1,3,,0
35,21,20,1,0.85,0
36,22,99,4,0.2,0
37,22,94,3,0.0,0
38,23,34,4,0.0,0
39,24,83,4,0.0,0
40,24,53,3,0.0,0
41,24,47,4,0.0,0
42,25,9,3,0.25,0
43,25,83,1,0.0,0
44,25,16,2,0.0,1
45,25,61,2,0.0,0
46,25,21,1,,0
47,26,64,2,0.0,0
48,27,74,4,0.2,1
49,27,42,120,0.0,1
50,28,73,1,0.0,0
51,29,93,4,0.1,0
52,29,19,3,0.05,0
53,30,9,3,0.0,0
54,31,7,4,0.0,0
55,32,3,1,0.3,0
56,33,9,1,0.0,0
57,34,20,1,0.0,1
58,34,50,4,0.0,1
59,35,23,1,0.0,0
60,35,29,2,0.0,0
61,36,71,3,0.0,0
62,37,43,2,0.2,0
63,38,72,3,0.15,0
64,39,57,3,0.0,0
65,40,48,4,0.0,0
66,40,12,2,0.3,0
67,41,56,3,0.0,0
68,41,32,1,,0
69,41,45,1,0.0,0
70,42,10,2,0.0,0
71,42,28,2,0.0,0
72,42,33,3,0.0,1
73,43,89,2,0.0,0
74,43,12,4,0.1,0
75,44,19,3,0.0,1
76,45,1,1,0.3,0
77,46,6,3,0.15,0
78,46,83,1,0.0,0
79,47,32,120,,0
80,48,78,3,0.0,0
81,49,70,1,0.15,0
82,49,5,1,0.0,0
83,50,67,4,0.0,0
84,51,24,2,0.0,0
85,52,18,1,0.15,0
86,53,19,2,0.0,0
87,53,68,4,0.0,0
88,53,35,3,0.0,0
89,54,50,-2,0.0,1
90,54,93,4,0.3,0
91,55,51,1,0.15,0
92,55,8,4,0.05,0
93,55,68,3,0.1,0
94,56,19,4,0.05,0
95,57,47,3,0.0,0
96,58,89,2,0.0,0
97,59,48,3,0.0,0
98,59,68,1,0.0,1
99,60,79,3,0.0,0
100,60,59,2,0.2,0
101,61,44,3,0.1,0
102,62,61,1,0.1,0
103,63,11,1,0.0,0
104,64,18,3,0.1,0
105,65,83,2,0.0,0
106,66,31,1,0.0,0
107,66,55,1,0.0,0
108,67,62,2,0.0,0
109,68,1,3,0.2,0
110,69,83,4,0.0,0
